Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Donald Brown,RB,383,NE,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
David Johnson,TE,384,SD,0,0,0,0,0,0,0,0,0,0,0,0,FLOOR,CEILING,INJURY
Jorvorskie Lane,RB,385,TB,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Knowshon Moreno,RB,386,FA,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Cedric Peerman,RB,387,Cin,4.1,16.2,0.1,0,0,0,0,0,0,0,0,1.7,FLOOR,CEILING,INJURY
Marcus Thigpen,RB,388,Buf,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
James Casey,TE,389,Den,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Chase Coffman,TE,390,Ind,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Bear Pascoe,TE,391,NE,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brandon Pettigrew,TE,392,Det,0,0,0,11.8,134,1.1,0,0,0,0,0,19.6,FLOOR,CEILING,INJURY
John Phillips,TE,393,SD,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brandon Gibson,WR,394,NE,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brian Hartline,WR,395,Cle,0,0,0,27.8,356,1.5,0,0,0,0,0,43.9,FLOOR,CEILING,INJURY
Percy Harvin,WR,396,Buf,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Darrius Heyward-Bey,WR,397,Pit,0,0,0,14.9,212.2,1.6,0,0,0,0,0,30.9,FLOOR,CEILING,INJURY
Louis Murphy,WR,398,TB,0,0,0,3,37.1,0.3,0,0,0,0,0,4.5,FLOOR,CEILING,INJURY
Hakeem Nicks,WR,399,NO,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Jordan Norwood,WR,400,Den,0,0,0,15.2,166.5,0.9,0,0,0,0,0,23.5,FLOOR,CEILING,INJURY
Kevin Ogletree,WR,401,NYG,--,--,--,--,--,--,--,--,--,--,--,--,FLOOR,CEILING,INJURY
Brandon Tate,WR,402,Cin,0,0,0,3,39.3,0.3,0,0,0,0,0,5.8,FLOOR,CEILING,INJURY
Brandon Myers,TE,403,TB,0,0,0,3.4,35.6,0.3,0,0,0,0,0,5,FLOOR,CEILING,INJURY
Ryan Succop,K,404,Ten,0,0,0,0,0,0,0,0,0,0,0,104.5,FLOOR,CEILING,INJURY
