,Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
194,195,To,STL,21.0,RB,13,12,26,21,80.8%,188,9.0,0,31,1.6,14.5,3
195,196,Jus,ATL,24.0,wr,9,1,36,21,58.3%,194,9.2,0,23,2.3,21.6,0
196,197,Darrius He,PIT,28.0,wr,16,4,39,21,53.8%,314,15.0,2,66,1.3,19.6,0
197,198,Jerick,MIN,23.0,,16,0,29,21,72.4%,173,8.2,1,30,1.3,10.8,0
198,199,Denard,JAX,25.0,rb,13,3,30,21,70.0%,164,7.8,0,16,1.6,12.6,3
199,200,Austin Seferia,TAM,23.0,te,7,3,39,21,53.8%,338,16.1,4,43,3.0,48.3,0
200,201,Damien,MIA,23.0,,16,0,28,21,75.0%,142,6.8,1,23,1.3,8.9,2
201,202,Chr,2TM,26.0,,15,6,54,20,37.0%,353,17.7,1,48,1.3,23.5,0
202,203,Rya,HOU,25.0,te,9,4,34,20,58.8%,251,12.6,2,37,2.2,27.9,0
203,204,E,GNB,25.0,RB,15,12,28,20,71.4%,188,9.4,2,28,1.3,12.5,4
204,205,Rya,PHI,28.0,rb,13,6,28,20,71.4%,146,7.3,1,23,1.5,11.2,3
205,206,Charcand,KAN,24.0,RB,15,9,34,20,58.8%,214,10.7,1,80,1.3,14.3,1
206,207,Ma,MIN,28.0,,16,0,22,19,86.4%,132,6.9,0,22,1.2,8.3,0
207,208,Jos,CHI,26.0,wr,16,3,34,19,55.9%,224,11.8,2,48,1.2,14.0,0
208,209,Brand,NWE,25.0,rb,15,2,30,19,63.3%,180,9.5,2,63,1.3,12.0,0
209,210,Garr,SFO,27.0,TE,11,8,28,19,67.9%,186,9.8,3,33,1.7,16.9,0
210,211,Isaia,CLE,22.0,RB,16,9,22,19,86.4%,182,9.6,1,53,1.2,11.4,0
211,212,Rash,JAX,23.0,,9,0,35,19,54.3%,93,4.9,2,18,2.1,10.3,1
212,213,Per,BUF,27.0,wr,5,5,30,19,63.3%,218,11.5,1,51,3.8,43.6,1
213,214,Greg,MIA,32.0,wr,16,5,36,19,52.8%,208,10.9,1,31,1.2,13.0,0
214,215,M,WAS,22.0,,13,0,25,19,76.0%,304,16.0,1,78,1.5,23.4,5
215,216,Gri,IND,25.0,,14,0,26,19,73.1%,205,10.8,1,38,1.4,14.6,4
216,217,N,BAL,22.0,te,11,2,23,18,78.3%,153,8.5,0,25,1.6,13.9,0
217,218,Philli,IND,22.0,,11,0,39,18,46.2%,225,12.5,1,35,1.6,20.5,2
218,219,Jermain,ARI,27.0,TE/wr,15,12,32,18,56.3%,223,12.4,1,22,1.2,14.9,0
219,220,,STL,22.0,rb,13,3,25,18,72.0%,88,4.9,0,16,1.4,6.8,3
